序号,瓷砖颜色编号
1,1
2,11
3,11
4,11
5,11
6,11
7,7
8,1
9,6
10,11
11,11
12,11
13,7
14,7
15,16
16,6
17,6
18,11
19,5
20,5
21,7
22,16
23,16
24,6
25,5
26,5
27,5
28,12
29,12
30,16
31,15
32,15
33,5
34,5
35,12
36,12
37,1
38,11
39,11
40,11
41,11
42,11
43,7
44,1
45,11
46,11
47,11
48,11
49,7
50,7
51,6
52,6
53,6
54,11
55,5
56,5
57,7
58,16
59,16
60,6
61,5
62,5
63,5
64,12
65,12
66,16
67,15
68,15
69,5
70,5
71,12
72,12
73,1
74,11
75,11
76,11
77,11
78,11
79,10
80,1
81,11
82,11
83,11
84,11
85,7
86,7
87,6
88,6
89,11
90,11
91,5
92,7
93,7
94,16
95,16
96,6
97,5
98,5
99,5
100,12
101,12
102,16
103,15
104,15
105,5
106,5
107,12
108,12
109,10
110,13
111,11
112,11
113,11
114,11
115,10
116,22
117,11
118,11
119,11
120,11
121,10
122,10
123,22
124,22
125,11
126,11
127,5
128,7
129,7
130,18
131,6
132,6
133,5
134,5
135,5
136,12
137,20
138,16
139,15
140,15
141,5
142,5
143,12
144,20
145,13
146,13
147,13
148,11
149,11
150,11
151,10
152,10
153,13
154,11
155,11
156,11
157,10
158,10
159,22
160,22
161,11
162,11
163,10
164,10
165,10
166,22
167,22
168,22
169,4
170,5
171,19
172,18
173,18
174,22
175,15
176,15
177,5
178,19
179,20
180,20
181,3
182,13
183,13
184,13
185,13
186,13
187,17
188,13
189,13
190,13
191,13
192,11
193,17
194,10
195,8
196,22
197,11
198,11
199,9
200,10
201,10
202,8
203,22
204,22
205,14
206,14
207,19
208,21
209,18
210,22
211,4
212,4
213,19
214,19
215,2
216,20
